cell_Line_Name,DepMap_IDs,
HT29,ACH-000552,
RD,ACH-000041,
HB3,NA,
SN12C,ACH-002199,
NCI-H322M,ACH-002172,
OVCAR-4,ACH-000617,
HT144,ACH-000322,
A427,ACH-000757,
CTR,ACH-001196,
UACC-257,ACH-000579,
MSTO,ACH-000335,
T98G,ACH-000571,
ZR751,ACH-000097,
A-375,ACH-000219,
SNB-19,ACH-001198,
KM12,ACH-000969,
RPMI7951,ACH-000348,
SNB75,ACH-000504,
A2780,ACH-000657,
MDAMB436,ACH-000573,
K-562,ACH-000551,
SKMEL30,ACH-000810,
SKMES1,ACH-000665,
A-673,ACH-000052,
JHH136,NA,
HCT116,ACH-000971,
LOX IMVI,ACH-000750,
NCI\\/ADRRES,NA,
TMD8,NA,
BT-549,ACH-000288,
Mak,NA,
A498,ACH-000555,
L-428,ACH-000754,
DLD1,ACH-001061,
SMS-CTR,ACH-001196,
SK-MEL-28,ACH-000615,
UWB1289,ACH-001418,
KBM7,NA,
CAOV3,ACH-000713,
M14,ACH-001390,
NCIH2122,ACH-000311,
MMAC-SF,ACH-002162,
SK-OV-3,ACH-000811,
Rh36,ACH-001751,
MALME3M,ACH-000477,
IGROV1,ACH-000966,
A549,ACH-000681,
ED40515,NA,
TC-71,ACH-000424,
MDA-MB-231,ACH-000768,
LOVO,ACH-000950,
PANC-1,ACH-000164,
RXF 393,ACH-002195,
SW837,ACH-000421,
KPL1,ACH-000028,
KB3-1,NA,
UACC62,ACH-000425,
MOLT-4,ACH-001127,
RPMI8226,ACH-000817,
SUDIPG-XIII,NA,
VCAP,ACH-000115,
SK-MEL-5,ACH-000730,
PA1,ACH-001374,
KBChR-8-5-11,NA,
U-HO1,ACH-001685,
LNCAP,ACH-000977,
TC-32,ACH-001205,
SF-295,ACH-000376,
SF539,ACH-000273,
NCIH1650,ACH-000035,
PC-3,ACH-000090,
JHH520,NA,
NCI-H226,ACH-000367,
EFM192B,ACH-000117 ,
A375,ACH-000219,
HL60(TB),ACH-000002 ,
DU145,ACH-000979,
NCI-H522,ACH-000343,
OVCAR-8,ACH-000696,
3D7,NA,
DD2,ACH-000055,
OCUBM,ACH-002179,
TK10,ACH-001208,
HDLM-2,ACH-000267,
SR,ACH-000041,
UO-31,ACH-000428,
CCRF-CEM,ACH-001738,
COLO 858,NA,
CAKI1,ACH-000433,
7860,ACH-000649,(786O)
SW620,ACH-000651,
HCT-15,ACH-000997,
EKVX,ACH-000706,
HOP-92,ACH-000825,
UWB1289+BRCA1,NA,
L-1236,ACH-000702,
T-47D,ACH-000147,
OVCAR3,ACH-000001,
HOP-62,ACH-000861,
OVCAR-5,ACH-001151,
HCC2998,ACH-001081,
NCIH23,ACH-000875,
NCI-H460,ACH-000463,
RKO,ACH-000943,
A2058,ACH-000788,
MZ7-mel,ACH-002166,
Huh7,ACH-000480 ,
COLO320DM,NA,
EW8,ACH-000499,
ES2,ACH-000331,
SF268,ACH-000655,
WM-115,ACH-000304,
OV90,ACH-000291,
HS 578T,ACH-000148,
MDA-MB-468,ACH-000849,
ACHN,ACH-000046,
SK-MEL-2,ACH-000615,
MCF7,ACH-000019,
NCIH520,ACH-000395,
U251,ACH-000232,
MDA-MB-435,ACH-000884,
DIPG25,NA,
COLO 205,ACH-001039,
